frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
0,0.0,330,1103,557,1179,443.5,1141.0,0.0
1,0.016663529987076042,324,1164,561,1230,442.5,1197.0,56.0
2,0.033327059974152085,322,1208,562,1272,442.0,1240.0,99.0
3,0.04999058996122813,318,1242,567,1306,442.5,1274.0,133.0
4,0.06665411994830417,313,1266,569,1328,441.0,1297.0,156.0
5,0.08331764993538021,310,1275,569,1334,439.5,1304.5,163.5
6,0.09998117992245625,314,1258,570,1319,442.0,1288.5,147.5
7,0.1166447099095323,322,1223,568,1288,445.0,1255.5,114.5
8,0.13330823989660834,328,1166,563,1237,445.5,1201.5,60.5
9,0.14997176988368438,335,1094,562,1178,448.5,1136.0,-5.0
10,0.16663529987076042,338,1027,560,1103,449.0,1065.0,-76.0
11,0.18329882985783646,338,945,556,1027,447.0,986.0,-155.0
12,0.1999623598449125,342,860,557,948,449.5,904.0,-237.0
13,0.21662588983198855,341,789,555,872,448.0,830.5,-310.5
14,0.2332894198190646,337,718,555,797,446.0,757.5,-383.5
15,0.24995294980614063,334,640,557,727,445.5,683.5,-457.5
16,0.2666164797932167,329,568,554,655,441.5,611.5,-529.5
17,0.2832800097802927,329,505,562,592,445.5,548.5,-592.5
18,0.29994353976736876,320,441,562,536,441.0,488.5,-652.5
19,0.3166070697544448,312,422,570,495,441.0,458.5,-682.5
20,0.33327059974152085,310,405,573,472,441.5,438.5,-702.5
21,0.3499341297285969,310,402,573,469,441.5,435.5,-705.5
22,0.36659765971567293,312,415,571,482,441.5,448.5,-692.5
23,0.38326118970274897,318,441,570,513,444.0,477.0,-664.0
24,0.399924719689825,322,482,562,560,442.0,521.0,-620.0
25,0.41658824967690106,326,533,557,616,441.5,574.5,-566.5
26,0.4332517796639771,327,592,557,677,442.0,634.5,-506.5
27,0.44991530965105314,334,647,551,742,442.5,694.5,-446.5
28,0.4665788396381292,336,721,548,814,442.0,767.5,-373.5
29,0.4832423696252052,335,809,544,891,439.5,850.0,-291.0
30,0.49990589961228127,337,887,546,972,441.5,929.5,-211.5
31,0.5165694295993573,333,969,547,1056,440.0,1012.5,-128.5
32,0.5332329595864334,332,1047,552,1131,442.0,1089.0,-52.0
33,0.5498964895735093,330,1107,556,1199,443.0,1153.0,12.0
34,0.5665600195605854,323,1172,567,1254,445.0,1213.0,72.0
35,0.5832235495476614,317,1234,570,1294,443.5,1264.0,123.0
36,0.5998870795347375,312,1254,572,1314,442.0,1284.0,143.0
37,0.6165506095218135,311,1260,571,1319,441.0,1289.5,148.5
38,0.6332141395088896,313,1249,573,1309,443.0,1279.0,138.0
39,0.6498776694959656,314,1226,568,1288,441.0,1257.0,116.0
40,0.6665411994830417,316,1194,566,1257,441.0,1225.5,84.5
41,0.6832047294701177,319,1154,561,1216,440.0,1185.0,44.0
42,0.6998682594571938,324,1094,554,1162,439.0,1128.0,-13.0
43,0.7165317894442698,326,1022,547,1098,436.5,1060.0,-81.0
44,0.7331953194313459,335,934,547,1022,441.0,978.0,-163.0
45,0.7498588494184218,333,852,544,941,438.5,896.5,-244.5
46,0.7665223794054979,337,765,549,851,443.0,808.0,-333.0
47,0.7831859093925739,338,688,546,768,442.0,728.0,-413.0
48,0.79984943937965,329,609,552,690,440.5,649.5,-491.5
49,0.816512969366726,328,546,564,626,446.0,586.0,-555.0
50,0.8331764993538021,323,497,568,572,445.5,534.5,-606.5
51,0.8498400293408781,318,463,572,536,445.0,499.5,-641.5
52,0.8665035593279542,311,444,573,508,442.0,476.0,-665.0
53,0.8831670893150302,310,428,573,492,441.5,460.0,-681.0
54,0.8998306193021063,310,424,573,490,441.5,457.0,-684.0
55,0.9164941492891823,311,432,571,498,441.0,465.0,-676.0
56,0.9331576792762584,314,452,568,522,441.0,487.0,-654.0
57,0.9498212092633344,321,490,564,562,442.5,526.0,-615.0
58,0.9664847392504105,330,536,559,616,444.5,576.0,-565.0
59,0.9831482692374864,344,602,557,685,450.5,643.5,-497.5
60,0.9998117992245625,346,678,552,765,449.0,721.5,-419.5
61,1.0164753292116386,344,764,550,847,447.0,805.5,-335.5
62,1.0331388591987145,341,846,554,930,447.5,888.0,-253.0
63,1.0498023891857906,338,920,560,1007,449.0,963.5,-177.5
64,1.0664659191728667,336,999,558,1078,447.0,1038.5,-102.5
65,1.0831294491599428,335,1060,561,1141,448.0,1100.5,-40.5
66,1.0997929791470187,332,1117,567,1198,449.5,1157.5,16.5
67,1.1164565091340948,325,1168,568,1244,446.5,1206.0,65.0
68,1.1331200391211709,319,1220,567,1282,443.0,1251.0,110.0
69,1.149783569108247,314,1246,569,1308,441.5,1277.0,136.0
70,1.1664470990953228,312,1261,573,1321,442.5,1291.0,150.0
71,1.183110629082399,312,1255,570,1316,441.0,1285.5,144.5
72,1.199774159069475,314,1230,568,1295,441.0,1262.5,121.5
73,1.2164376890565511,322,1179,561,1250,441.5,1214.5,73.5
74,1.233101219043627,325,1112,554,1195,439.5,1153.5,12.5
75,1.2497647490307031,328,1048,550,1130,439.0,1089.0,-52.0
76,1.2664282790177792,328,980,550,1058,439.0,1019.0,-122.0
77,1.2830918090048553,327,904,547,985,437.0,944.5,-196.5
78,1.2997553389919312,330,829,546,909,438.0,869.0,-272.0
79,1.3164188689790073,328,756,545,836,436.5,796.0,-345.0
80,1.3330823989660834,324,679,545,765,434.5,722.0,-419.0
81,1.3497459289531595,323,606,544,696,433.5,651.0,-490.0
82,1.3664094589402354,320,538,548,628,434.0,583.0,-558.0
83,1.3830729889273115,320,474,552,568,436.0,521.0,-620.0
