frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
0,0.0,157,458,427,551,292.0,504.5,0.0
1,0.01666354556803995,168,530,414,628,291.0,579.0,74.5
2,0.0333270911360799,177,623,417,717,297.0,670.0,165.5
3,0.04999063670411985,188,728,418,822,303.0,775.0,270.5
4,0.0666541822721598,195,825,416,930,305.5,877.5,373.0
5,0.08331772784019975,202,931,422,1044,312.0,987.5,483.0
6,0.0999812734082397,203,1049,430,1151,316.5,1100.0,595.5
7,0.11664481897627965,200,1152,447,1250,323.5,1201.0,696.5
8,0.1333083645443196,197,1247,445,1334,321.0,1290.5,786.0
9,0.14997191011235955,193,1315,453,1406,323.0,1360.5,856.0
10,0.1666354556803995,194,1386,460,1468,327.0,1427.0,922.5
11,0.18329900124843945,190,1448,465,1520,327.5,1484.0,979.5
12,0.1999625468164794,184,1488,471,1557,327.5,1522.5,1018.0
13,0.21662609238451935,178,1508,473,1574,325.5,1541.0,1036.5
14,0.2332896379525593,179,1498,471,1565,325.0,1531.5,1027.0
15,0.24995318352059925,184,1466,470,1534,327.0,1500.0,995.5
16,0.2666167290886392,194,1396,460,1488,327.0,1442.0,937.5
17,0.28328027465667915,198,1322,446,1413,322.0,1367.5,863.0
18,0.2999438202247191,202,1231,438,1325,320.0,1278.0,773.5
19,0.31660736579275905,202,1128,432,1224,317.0,1176.0,671.5
20,0.333270911360799,200,1031,430,1127,315.0,1079.0,574.5
21,0.34993445692883896,195,924,432,1026,313.5,975.0,470.5
22,0.3665980024968789,184,831,417,926,300.5,878.5,374.0
23,0.38326154806491886,180,728,414,834,297.0,781.0,276.5
24,0.3999250936329588,177,633,420,735,298.5,684.0,179.5
25,0.41658863920099876,170,545,418,644,294.0,594.5,90.0
26,0.4332521847690387,162,472,416,566,289.0,519.0,14.5
27,0.44991573033707866,152,418,428,503,290.0,460.5,-44.0
28,0.4665792759051186,138,385,432,462,285.0,423.5,-81.0
29,0.48324282147315856,137,362,434,442,285.5,402.0,-102.5
30,0.4999063670411985,136,374,434,448,285.0,411.0,-93.5
31,0.5165699126092385,144,397,432,480,288.0,438.5,-66.0
32,0.5332334581772784,152,439,424,531,288.0,485.0,-19.5
33,0.5498970037453184,159,508,422,600,290.5,554.0,49.5
34,0.5665605493133583,166,574,415,670,290.5,622.0,117.5
35,0.5832240948813983,166,661,414,754,290.0,707.5,203.0
36,0.5998876404494382,181,748,415,845,298.0,796.5,292.0
37,0.6165511860174782,189,842,411,946,300.0,894.0,389.5
38,0.6332147315855181,195,945,430,1054,312.5,999.5,495.0
39,0.6498782771535581,198,1057,428,1154,313.0,1105.5,601.0
40,0.666541822721598,200,1160,433,1257,316.5,1208.5,704.0
41,0.683205368289638,198,1253,440,1358,319.0,1305.5,801.0
42,0.6998689138576779,194,1339,449,1437,321.5,1388.0,883.5
43,0.7165324594257179,183,1423,461,1499,322.0,1461.0,956.5
44,0.7331960049937578,175,1467,465,1536,320.0,1501.5,997.0
45,0.7498595505617978,175,1486,472,1552,323.5,1519.0,1014.5
46,0.7665230961298377,175,1484,472,1550,323.5,1517.0,1012.5
47,0.7831866416978777,175,1467,469,1537,322.0,1502.0,997.5
48,0.7998501872659176,179,1431,464,1502,321.5,1466.5,962.0
49,0.8165137328339576,184,1363,454,1454,319.0,1408.5,904.0
